MAL_ID,Name,Score,Genres,Type,Episodes,Aired,Premiered,Licensors,Studios,Source,Ranked,Popularity
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,"Apr 7, 1995 to Mar 29, 1996",Spring 1995,Bandai Entertainment,Sunrise,Original,984,1118
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,"Jan 25, 1997 to Jul 25, 1997",0,Bandai Entertainment,Sunrise,Original,897,2512
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,"Apr 5, 1996 to Dec 28, 1996",Spring 1996,Nozomi Entertainment,Sunrise,Original,2228,3043
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,"Oct 5, 2002 to Sep 27, 2003",Fall 2002,"Bandai Entertainment, NYAV Post",Sunrise,Original,850,1057
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,"Oct 9, 2004 to Oct 1, 2005",Fall 2004,"Bandai Entertainment, NYAV Post",Sunrise,Original,2687,1530
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,"Apr 9, 1999 to Apr 14, 2000",Spring 1999,Nozomi Entertainment,"Sunrise, Nakamura Production",Original,1018,2714
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,"Apr 1, 1994 to Mar 31, 1995",Spring 1994,Bandai Entertainment,Sunrise,Original,1396,2109
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,"Apr 8, 2003 to Sep 30, 2003",Spring 2003,"Funimation, Geneon Entertainment USA",Gonzo,Original,795,995
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,"Sep 30, 2004 to Mar 31, 2005",Fall 2004,"Funimation, Bandai Entertainment",Sunrise,Original,1698,1381
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"Funimation, Bandai Entertainment",Sunrise,Original,2308,2370
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,"Apr 4, 2001 to Jun 27, 2001",Spring 2001,"ADV Films, Funimation",Hal Film Maker,Manga,2785,2162
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,"Jan 7, 2005 to Mar 25, 2005",Winter 2005,"ADV Films, Funimation",Kyoto Animation,Visual novel,2230,563
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26,"Apr 3, 2004 to Oct 9, 2004",Spring 2004,0,TMS Entertainment,Manga,1634,1529
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,"Jan 7, 1994 to Jun 30, 1995",Winter 1994,0,Gallop,Manga,1941,4551
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,"Apr 20, 2000 to Sep 28, 2000",Spring 2000,"VIZ Media, Discotek Media",Studio Pierrot,Manga,2641,2182
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,13,"Apr 11, 2000 to Jul 4, 2000",Spring 2000,Nozomi Entertainment,Hal Film Maker,Manga,6088,3665
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,51,"Sep 8, 1996 to Aug 31, 1997",Fall 1996,"VIZ Media, Discotek Media",Toei Animation,Manga,1027,2293
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,"May 15, 2002 to Aug 14, 2002",Spring 2002,ADV Films,Studio Deen,Manga,2625,2817
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3,"Jan 21, 2004 to Apr 28, 2004",0,"ADV Films, Funimation",Studio Deen,Manga,2367,4619
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,"Apr 7, 2004 to Sep 15, 2004",Spring 2004,Funimation,Gonzo,Original,4381,1965
110,Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,52,"Apr 27, 1997 to Sep 13, 1998",Spring 1997,0,Nippon Animation,Manga,1195,4086
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52,"Apr 9, 1999 to Oct 20, 2000",Spring 1999,VIZ Media,Nippon Animation,Original,4318,4519
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,"Jan 12, 2004 to Mar 1, 2004",Winter 2004,0,"Imagin, Studio Live",Original,10648,5542
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,"Discotek Media, Geneon Entertainment USA",Xebec,Original,1980,3577
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,"Oct 3, 2003 to Mar 26, 2004",Fall 2003,"ADV Films, Sentai Filmworks, Discotek Media",Production I.G,Manga,631,1279
115,El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,"Jan 8, 1998 to Mar 26, 1998",Winter 1998,Geneon Entertainment USA,AIC,Original,4315,4961
116,El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,"Oct 6, 1995 to Mar 29, 1996",Fall 1995,"Nozomi Entertainment, Geneon Entertainment USA",AIC,Original,3735,4198
117,El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,7,"May 26, 1995 to Jan 25, 1996",0,"Nozomi Entertainment, Geneon Entertainment USA",AIC,Original,2240,4129
118,El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,4,"Mar 21, 1997 to Oct 25, 1997",0,Geneon Entertainment USA,AIC,Original,4239,5421
119,Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,0,Zexcs,Visual novel,5567,2887
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,"Jul 5, 2001 to Dec 27, 2001",Summer 2001,Funimation,Studio Deen,Manga,1058,314
121,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,"Oct 4, 2003 to Oct 2, 2004",Fall 2003,"Funimation, Aniplex of America",Bones,Manga,337,52
122,Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,VIZ Media,Studio Deen,Manga,585,1519
123,Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,"Apr 6, 1995 to Mar 28, 1996",Spring 1995,"Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,1172,1434
124,Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4,"Dec 21, 2001 to Jun 25, 2002",0,"Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,4189,4101
125,Futakoi,6.49,"Comedy, Romance, School",TV,13,"Oct 6, 2004 to Dec 29, 2004",Fall 2004,0,Telecom Animation Film,Original,5946,2900
126,Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,"Apr 7, 2005 to Jun 30, 2005",Spring 2005,0,"ufotable, feel., Studio Flag",Original,3968,3071
127,Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,"Apr 3, 2000 to Sep 18, 2000",Spring 2000,Geneon Entertainment USA,Gonzo,Game,3767,3717
128,Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,6,"Apr 24, 2002 to Jan 8, 2003",0,Geneon Entertainment USA,Gonzo,Game,4489,5026
129,Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,"Apr 4, 2000 to Mar 27, 2001",Spring 2000,ADV Films,Studio Pierrot,Manga,1315,2359
130,Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25,"Oct 2, 2003 to Mar 25, 2004",Fall 2003,Geneon Entertainment USA,Studio Pierrot,Manga,1858,3071
131,Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26,"Apr 2, 2004 to Sep 24, 2004",Spring 2004,Geneon Entertainment USA,Studio Pierrot,Manga,1840,3724
132,GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,"Oct 5, 2002 to Sep 20, 2003",Fall 2002,"ADV Films, Sentai Filmworks",Studio Deen,Manga,1249,1339
133,Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,"Jul 12, 2003 to Sep 27, 2003",Summer 2003,Media Blasters,Studio Matrix,Visual novel,7303,1333
134,Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,"Oct 9, 2003 to Feb 19, 2004",Fall 2003,Funimation,Madhouse,Manga,1821,920
135,Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75,"Oct 10, 2001 to Mar 26, 2003",Fall 2001,VIZ Media,Studio Pierrot,Manga,400,1287
136,Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,"Oct 16, 1999 to Mar 31, 2001",Fall 1999,VIZ Media,Nippon Animation,Manga,143,319
137,Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",OVA,8,"Jan 17, 2002 to Apr 17, 2002",0,0,Nippon Animation,Manga,205,1375
138,Hunter x Hunter: Greed Island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,8,"Feb 5, 2003 to Apr 16, 2003",0,0,Nippon Animation,Manga,299,1244
139,Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,14,"Mar 3, 2004 to Aug 18, 2004",0,0,Nippon Animation,Manga,230,1288
141,Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,12,"Jan 6, 2005 to Mar 24, 2005",Winter 2005,"ADV Films, Funimation",feel.,Manga,7618,4923
142,Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44,"Feb 13, 1999 to Jan 29, 2000",Winter 1999,0,Toei Animation,Manga,1746,2363
143,Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12,"Oct 2, 2004 to Dec 18, 2004",Fall 2004,"Sentai Filmworks, Geneon Entertainment USA",TNK,Manga,4169,2000
144,Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,13,"Jan 31, 2002 to Mar 28, 2002",Winter 2002,Funimation,Toei Animation,Visual novel,3174,2105
145,Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26,"Oct 2, 1998 to Mar 26, 1999",Fall 1998,Nozomi Entertainment,"Gainax, J.C.Staff",Manga,1254,875
146,Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,12,"Apr 2, 2004 to Jun 18, 2004",Spring 2004,ADV Films,"Gainax, Shaft",Original,4625,2145
147,Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",TV,14,"Oct 5, 2003 to Jan 4, 2004",Fall 2003,Funimation,Studio Fantasia,Visual novel,2604,1187
148,Kita e.: Diamond Dust Drops,6.62,"Drama, Romance, Slice of Life",TV,12,"Jan 20, 2004 to Apr 5, 2004",Winter 2004,ADV Films,Studio Deen,Visual novel,5305,5411
149,Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,12,"Apr 7, 2005 to Jun 30, 2005",Spring 2005,Media Blasters,J.C.Staff,Manga,4203,1215
150,Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,50,"Oct 8, 2005 to Sep 23, 2006",Fall 2005,Sony Pictures Entertainment,Production I.G,Original,1116,431
151,Re: Cutey Honey,7.12,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,3,"Jul 24, 2004 to Sep 25, 2004",0,0,"Gainax, Toei Animation",Manga,3130,3430
152,Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,24,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,Funimation,Gonzo,Original,2447,3233
153,Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,"Apr 9, 2002 to Aug 30, 2003",Spring 2002,"Media Blasters, Discotek Media, Tokyopop",Studio Pierrot,Novel,464,1266
154,Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,64,"Jul 4, 2001 to Sep 25, 2002",Summer 2001,4Kids Entertainment,Xebec,Manga,853,477
